#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 09 29 11 00  80  6.0  7.0   1.1     6    MM  90 1014.2  28.1    MM    MM   MM +1.5    MM
2017 09 29 10 00  90  6.0  7.0   1.1     7    MM  89 1013.7  28.1    MM    MM   MM +0.9    MM
2017 09 29 09 00  80  5.0  6.0   1.0     6    MM  85 1012.9  27.5    MM    MM   MM -0.3    MM
2017 09 29 08 00  90  6.0  7.0   1.0     6    MM  82 1012.7  28.0    MM    MM   MM -1.0    MM
2017 09 29 07 00  90  6.0  7.0   0.9     6    MM  66 1012.8  28.0    MM    MM   MM -1.0    MM
2017 09 29 06 00 100  6.0  7.0   1.1     6    MM  68 1013.2  28.0    MM    MM   MM -0.9    MM
2017 09 29 05 00 100  6.0  8.0   1.1    10    MM  69 1013.7  28.1    MM    MM   MM -0.7    MM
2017 09 29 04 00 100  6.0  8.0   1.2    10    MM  85 1013.8  28.0    MM    MM   MM -0.7    MM
2017 09 29 03 00 100  6.0  8.0   1.2    11    MM  85 1014.1  28.1    MM    MM   MM +0.4    MM
2017 09 29 02 00  90  8.0  9.0   1.2     6    MM  85 1014.4  28.3    MM    MM   MM +1.2    MM
2017 09 29 01 00  90  8.0 10.0    MM    MM    MM  MM 1014.5  28.4    MM    MM   MM +1.7    MM
2017 09 29 00 00  90  8.0 10.0   1.3     4    MM  79 1013.7  28.6    MM    MM   MM +1.1    MM
2017 09 28 23 00  90  8.0 10.0   1.1     5    MM  53 1013.2  28.6    MM    MM   MM +0.9    MM
2017 09 28 22 00  60  5.0  6.0   1.1    10    MM  47 1012.8  28.1    MM    MM   MM -0.0    MM
2017 09 28 21 00  90  6.0  8.0   1.0    10    MM  41 1012.6  28.7    MM    MM   MM -0.7    MM
2017 09 28 20 00  60  6.0  7.0   1.0    11    MM  43 1012.3  28.6    MM    MM   MM -1.8    MM
2017 09 28 19 00  90  6.0  7.0   1.0    11    MM  48 1012.6  28.7    MM    MM   MM -2.1    MM
2017 09 28 18 00  50  6.0  7.0   1.1    11    MM  66 1013.3  27.6    MM    MM   MM -2.3    MM
2017 09 28 17 00  90  6.0  7.0   1.1     5    MM  73 1014.1  28.3    MM    MM   MM -1.4    MM
2017 09 28 16 00  80  6.0  7.0   1.0    11    MM  70 1014.7  27.8    MM    MM   MM -0.8    MM
2017 09 28 15 00  90  5.0  7.0   0.9    12    MM  69 1015.6  28.6    MM    MM   MM +0.6    MM
2017 09 28 14 00  90  5.0  6.0   0.8     5    MM  82 1015.5  28.5    MM    MM   MM +0.9    MM
2017 09 28 13 00  80  5.0  6.0   0.8    12    MM  86 1015.5  28.4    MM    MM   MM +1.3    MM
2017 09 28 12 00  80  6.0  8.0   0.8     6    MM  88 1015.0  28.3    MM    MM   MM +1.2    MM
2017 09 28 11 00  80  5.0  6.0   0.7     6    MM  90 1014.6  28.0    MM    MM   MM +1.1    MM
2017 09 28 10 00  70  4.0  5.0   0.8    11    MM  87 1014.2  27.8    MM    MM   MM +0.8    MM
2017 09 28 09 00  70  4.0  5.0   0.7     5    MM  86 1013.8  27.7    MM    MM   MM +0.3    MM
2017 09 28 08 00  60  4.0  5.0   0.7     5    MM  85 1013.5  27.7    MM    MM   MM -0.5    MM
2017 09 28 07 00  60  4.0  5.0   0.8     5    MM  85 1013.4  27.7    MM    MM   MM -0.9    MM
2017 09 28 06 00  70  4.0  5.0   0.8     5    MM  87 1013.5  27.9    MM    MM   MM -1.2    MM
2017 09 28 05 00  70  4.0  5.0   0.9     5    MM  89 1014.0  27.9    MM    MM   MM -0.7    MM
2017 09 28 04 00  80  5.0  6.0   0.9     4    MM  94 1014.3  28.0    MM    MM   MM -0.4    MM
2017 09 28 03 00  80  6.0  7.0   1.1     4    MM  94 1014.7  28.2    MM    MM   MM +0.5    MM
2017 09 28 02 00  80  7.0  8.0   1.0     4    MM  93 1014.7  28.3    MM    MM   MM +1.0    MM
2017 09 28 01 00  90  7.0  9.0   1.0    11    MM  92 1014.7  28.4    MM    MM   MM +1.5    MM
2017 09 28 00 00  90  7.0  8.0   0.9    11    MM  90 1014.2  28.5    MM    MM   MM +1.3    MM
2017 09 27 23 00  80  6.0  8.0   0.8     4    MM  93 1013.7  28.3    MM    MM   MM +0.6    MM
2017 09 27 22 00 100  6.0  7.0   0.7     4    MM  61 1013.2  28.4    MM    MM   MM +0.4    MM
2017 09 27 21 00  90  6.0  7.0   0.8    10    MM 101 1012.9  28.4    MM    MM   MM -0.5    MM
2017 09 27 20 00 100  5.0  6.0   0.8    11    MM  76 1013.1  28.4    MM    MM   MM -0.9    MM
2017 09 27 19 00  90  5.0  7.0   0.8    11    MM  78 1012.8  28.5    MM    MM   MM -2.1    MM
2017 09 27 18 00  90  5.0  6.0   0.9    11    MM  13 1013.4  28.5    MM    MM   MM -2.1    MM
2017 09 27 17 00 100  5.0  6.0   0.9    11    MM  49 1014.0  28.5    MM    MM   MM -1.5    MM
2017 09 27 16 00 100  6.0  7.0   0.9    11    MM  72 1014.9  28.5    MM    MM   MM -0.3    MM
2017 09 27 15 00  90  5.0  6.0   1.0    11    MM 130 1015.5  28.5    MM    MM   MM +0.8    MM
2017 09 27 14 00 100  4.0  5.0    MM    MM    MM  MM 1015.5  28.3    MM    MM   MM +1.5    MM
2017 09 27 13 00  80  4.0  5.0    MM    MM    MM  MM 1015.2  28.2    MM    MM   MM +1.8    MM
2017 09 27 12 00  70  5.0  6.0   0.9    11    MM  14 1014.7  28.0    MM    MM   MM +1.9    MM
2017 09 27 11 00  90  5.0  7.0   1.0    11    MM  11 1014.0  28.1    MM    MM   MM +1.4    MM
2017 09 27 10 00  80  4.0  5.0   0.8    14    MM  32 1013.4  27.8    MM    MM   MM +0.5    MM
2017 09 27 09 00  90  5.0  6.0   0.9    11    MM  72 1012.8  28.0    MM    MM   MM -0.6    MM
2017 09 27 08 00  90  5.0  6.0   0.8    13    MM  96 1012.6  28.0    MM    MM   MM -1.4    MM
2017 09 27 07 00 100  5.0  7.0   0.8    11    MM  77 1012.9  28.0    MM    MM   MM -1.5    MM
2017 09 27 06 00 100  5.0  6.0   0.8    11    MM  37 1013.4  28.0    MM    MM   MM -1.4    MM
2017 09 27 05 00 100  5.0  6.0   0.8    11    MM  19 1014.0  28.0    MM    MM   MM -0.9    MM
2017 09 27 04 00 110  4.0  5.0   0.9    11    MM  18 1014.4  28.1    MM    MM   MM -0.6    MM
2017 09 27 03 00 100  5.0  6.0   0.9    11    MM  22 1014.8  28.2    MM    MM   MM +0.0    MM
2017 09 27 02 00 100  5.0  6.0   0.9    13    MM  46 1014.9  28.4    MM    MM   MM +0.5    MM
2017 09 27 01 00 100  5.0  6.0   0.9    14    MM  94 1015.0  28.4    MM    MM   MM +0.9    MM
2017 09 27 00 00  90  5.0  6.0   1.0    13    MM 118 1014.7  28.3    MM    MM   MM +0.8    MM
2017 09 26 23 00  90  6.0  7.0   0.8    10    MM  95 1014.4  28.4    MM    MM   MM +0.4    MM
2017 09 26 22 00 100  5.0  6.0   0.8    10    MM  59 1014.1  28.4    MM    MM   MM +0.0    MM
2017 09 26 21 00 100  5.0  7.0   0.9    13    MM  52 1013.9  28.5    MM    MM   MM -0.7    MM
2017 09 26 20 00  90  4.0  6.0   0.8    11    MM  46 1014.0  28.5    MM    MM   MM -1.1    MM
2017 09 26 19 00 100  4.0  5.0   0.8    11    MM  36 1014.1  28.7    MM    MM   MM -1.7    MM
2017 09 26 18 00 100  4.0  5.0   0.8    10    MM  30 1014.6  28.6    MM    MM   MM -1.9    MM
2017 09 26 17 00  90  5.0  6.0   0.7    11    MM  52 1015.1  28.4    MM    MM   MM -1.3    MM
2017 09 26 16 00 100  5.0  6.0   0.8    12    MM  76 1015.8  28.4    MM    MM   MM -0.3    MM
2017 09 26 15 00 100  5.0  6.0   0.8    11    MM  80 1016.5  28.5    MM    MM   MM +0.8    MM
2017 09 26 14 00 100  4.0  6.0   0.8    11    MM  86 1016.4  28.3    MM    MM   MM +1.5    MM
2017 09 26 13 00 100  5.0  6.0   0.9    11    MM  82 1016.1  28.5    MM    MM   MM +1.7    MM
2017 09 26 12 00 100  4.0  5.0   0.8    11    MM  86 1015.7  28.2    MM    MM   MM +1.6    MM
2017 09 26 11 00  90  4.0  6.0   0.8    11    MM  83 1014.9  28.0    MM    MM   MM +1.2    MM
2017 09 26 10 00 100  5.0  6.0   0.8     9    MM  64 1014.4  27.9    MM    MM   MM +0.6    MM
2017 09 26 09 00  90  5.0  6.0   0.7     5    MM  55 1014.1  28.0    MM    MM   MM -0.3    MM
2017 09 26 08 00 100  5.0  6.0   0.8    10    MM  49 1013.7  27.9    MM    MM   MM -1.2    MM
2017 09 26 07 00 100  5.0  7.0   0.8    11    MM  57 1013.8  27.9    MM    MM   MM -1.4    MM
2017 09 26 06 00 100  6.0  7.0   0.9     6    MM  53 1014.4  27.9    MM    MM   MM -1.2    MM
2017 09 26 05 00 100  6.0  8.0   0.9     5    MM  51 1014.9  27.9    MM    MM   MM -0.7    MM
2017 09 26 04 00 100  6.0  8.0   0.8     5    MM  52 1015.2  28.0    MM    MM   MM -0.4    MM
2017 09 26 03 00  90  6.0  7.0    MM    MM    MM  MM 1015.6  28.0    MM    MM   MM +0.8    MM
2017 09 26 02 00 100  6.0  8.0   0.7     9    MM  69 1015.6  28.0    MM    MM   MM +1.0    MM
2017 09 26 01 00  90  6.0  7.0   0.7     6    MM  68 1015.6  28.0    MM    MM   MM +1.9    MM
2017 09 26 00 00 100  5.0  6.0   0.7     6    MM 104 1014.8  28.0    MM    MM   MM +1.4    MM
2017 09 25 23 00 100  5.0  6.0   0.8    10    MM  87 1014.6  28.0    MM    MM   MM +1.1    MM
2017 09 25 22 00 110  4.0  5.0   0.8    11    MM  75 1013.7  28.0    MM    MM   MM -0.0    MM
2017 09 25 21 00 120  4.0  5.0   0.8     6    MM  50 1013.4  28.4    MM    MM   MM -0.6    MM
2017 09 25 20 00 150  5.0  6.0   0.7    11    MM  50 1013.5  28.7    MM    MM   MM -0.6    MM
2017 09 25 19 00 110  5.0  6.0   0.7    10    MM  85 1013.8  28.1    MM    MM   MM -1.5    MM
2017 09 25 18 00 120  4.0  5.0    MM    MM    MM  MM 1014.0  28.6    MM    MM   MM -2.5    MM
2017 09 25 17 00 170  5.0  6.0   0.7     4    MM  82 1014.1  28.5    MM    MM   MM -2.5    MM
2017 09 25 16 00 120  6.0  8.0   0.8     3    MM  88 1015.3  27.7    MM    MM   MM -0.6    MM
2017 09 25 15 00 100  7.0  8.0   0.8     4    MM  92 1016.5  27.7    MM    MM   MM +1.3    MM
2017 09 25 14 00  90  6.0  8.0   0.6    11    MM  90 1016.6  27.7    MM    MM   MM +1.7    MM
2017 09 25 13 00 120  3.0  4.0   0.7    11    MM  94 1015.9  27.6    MM    MM   MM +1.6    MM
2017 09 25 12 00 130  6.0  7.0   0.6    10    MM 148 1015.2  27.3    MM    MM   MM +1.5    MM
2017 09 25 11 00 110  4.0  5.0   0.6    11    MM 182 1014.9  27.4    MM    MM   MM +1.5    MM
2017 09 25 10 00 160  4.0  5.0   0.6    12    MM 149 1014.3  26.9    MM    MM   MM +0.7    MM
2017 09 25 09 00 110  4.0  5.0   0.6    11    MM  64 1013.7  27.9    MM    MM   MM -0.3    MM
2017 09 25 08 00 120  4.0  4.0   0.6    11    MM  47 1013.4  27.8    MM    MM   MM -1.0    MM
2017 09 25 07 00 110  4.0  5.0   0.6    11    MM 155 1013.6  27.8    MM    MM   MM -1.1    MM
2017 09 25 06 00 110  4.0  6.0   0.6    11    MM 156 1014.0  27.8    MM    MM   MM -0.8    MM
2017 09 25 05 00 110  5.0  6.0   0.7    11    MM 115 1014.4  27.9    MM    MM   MM -1.1    MM
2017 09 25 04 00 120  5.0  6.0   0.7    11    MM  10 1014.7  28.0    MM    MM   MM -1.0    MM
2017 09 25 03 00 120  5.0  6.0   0.7    11    MM  24 1014.8  28.1    MM    MM   MM +0.0    MM
2017 09 25 02 00 110  5.0  6.0   0.7    11    MM  55 1015.5  28.2    MM    MM   MM +0.9    MM
2017 09 25 01 00 100  4.0  5.0   0.7    12    MM 104 1015.7  28.1    MM    MM   MM +1.7    MM
2017 09 25 00 00 110  4.0  5.0   0.8    11    MM 194 1015.0  28.2    MM    MM   MM +1.7    MM
2017 09 24 23 00 120  5.0  6.0   0.8    11    MM 196 1014.6  28.2    MM    MM   MM +1.3    MM
